"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"05/31/2017","47","Ozone","Trimble","29-049-0001","AQS"
"06/01/2017","67","Ozone","Rocky Creek","29-047-0006","AQS"
"06/02/2017","80","Ozone","Trimble","29-049-0001","AQS"
"06/03/2017","67","Ozone","Rocky Creek","29-047-0006","AQS"
"06/04/2017","45","PM2.5","Troost","29-095-0034","AQS"
"06/05/2017","101","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"06/06/2017","49","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"06/07/2017","67","Ozone","JFK","20-209-0021","AQS"
"06/08/2017","105","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"06/09/2017","97","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"06/10/2017","74","Ozone","Rocky Creek","29-047-0006","AQS"
"06/11/2017","58","PM2.5","Troost","29-095-0034","AQS"
"06/12/2017","52","PM2.5","Troost","29-095-0034","AQS"
"06/13/2017","51","PM2.5","Troost","29-095-0034","AQS"
"06/14/2017","54","PM2.5","JFK","20-209-0021","AQS"
"06/15/2017","77","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"06/16/2017","77","Ozone","Rocky Creek","29-047-0006","AQS"
"06/17/2017","43","Ozone","Liberty","29-047-0005","AQS"
"06/18/2017","44","Ozone","Liberty","29-047-0005","AQS"
"06/19/2017","47","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"06/20/2017","67","Ozone","Liberty","29-047-0005","AQS"
"06/21/2017","54","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"06/22/2017","44","Ozone","Trimble","29-049-0001","AQS"
"06/23/2017","47","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"06/24/2017","42","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"06/25/2017","41","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"06/26/2017","35","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"06/27/2017","45","Ozone","Rocky Creek","29-047-0006","AQS"
"06/28/2017","51","PM2.5","Troost","29-095-0034","AQS"
"06/29/2017","43","PM2.5","Troost","29-095-0034","AQS"
"06/30/2017","48","Ozone","Liberty","29-047-0005","AQS"
"07/01/2017","50","Ozone","Rocky Creek","29-047-0006","AQS"
"07/02/2017","64","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"07/03/2017","74","Ozone","Rocky Creek","29-047-0006","AQS"
"07/04/2017","98","PM2.5","Troost","29-095-0034","AQS"
"07/05/2017","64","PM2.5","JFK","20-209-0021","AQS"
"07/06/2017","67","Ozone","Liberty","29-047-0005","AQS"
"07/07/2017","61","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"07/08/2017","67","Ozone","Rocky Creek","29-047-0006","AQS"
"07/09/2017","71","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"07/10/2017","60","PM2.5","JFK","20-209-0021","AQS"
"07/11/2017","51","PM2.5","Troost","29-095-0034","AQS"
"07/12/2017","57","PM2.5","JFK","20-209-0021","AQS"
"07/13/2017","48","Ozone","JFK","20-209-0021","AQS"
"07/14/2017","51","Ozone","HERITAGE PARK","20-091-0010","AQS"
"07/15/2017","64","Ozone","JFK","20-209-0021","AQS"
"07/16/2017","108","Ozone","Liberty","29-047-0005","AQS"
"07/17/2017","129","Ozone","Liberty","29-047-0005","AQS"
"07/18/2017","74","Ozone","Rocky Creek","29-047-0006","AQS"
"07/19/2017","71","Ozone","Rocky Creek","29-047-0006","AQS"
"07/20/2017","67","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"07/21/2017","52","PM2.5","JFK","20-209-0021","AQS"
"07/22/2017","74","Ozone","Liberty","29-047-0005","AQS"
"07/23/2017","74","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"07/24/2017","58","Ozone","JFK","20-209-0021","AQS"
"07/25/2017","119","Ozone","Rocky Creek","29-047-0006","AQS"
"07/26/2017","65","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"07/27/2017","38","Ozone","HERITAGE PARK","20-091-0010","AQS"
"07/28/2017","41","Ozone","HERITAGE PARK","20-091-0010","AQS"
"07/29/2017","43","Ozone","JFK","20-209-0021","AQS"
"07/30/2017","40","PM2.5","Troost","29-095-0034","AQS"
"07/31/2017","53","PM2.5","Troost","29-095-0034","AQS"
"08/01/2017","59","PM2.5","Troost","29-095-0034","AQS"
"08/02/2017","56","PM2.5","Troost","29-095-0034","AQS"
"08/03/2017","44","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"08/04/2017","45","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"08/05/2017","44","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"08/06/2017","39","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"08/07/2017","41","Ozone","HERITAGE PARK","20-091-0010","AQS"
"08/08/2017","43","Ozone","Leavenworth","20-103-0003","AQS"
"08/09/2017","47","Ozone","Trimble","29-049-0001","AQS"
"08/10/2017","67","Ozone","Liberty","29-047-0005","AQS"
"08/11/2017","46","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"08/12/2017","37","Ozone","JFK","20-209-0021","AQS"
"08/13/2017","43","Ozone","Leavenworth","20-103-0003","AQS"
"08/14/2017","79","PM2.5","JFK","20-209-0021","AQS"
"08/15/2017","48","Ozone","Rocky Creek","29-047-0006","AQS"
"08/16/2017","36","Ozone","Liberty","29-047-0005","AQS"
"08/17/2017","52","PM2.5","Troost","29-095-0034","AQS"
"08/18/2017","59","PM2.5","JFK","20-209-0021","AQS"
"08/19/2017","101","Ozone","JFK","20-209-0021","AQS"
"08/20/2017","45","Ozone","Leavenworth","20-103-0003","AQS"
"08/21/2017","39","PM2.5","Troost","29-095-0034","AQS"
"08/22/2017","44","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"08/23/2017","46","Ozone","HERITAGE PARK","20-091-0010","AQS"
"08/24/2017","42","Ozone","Leavenworth","20-103-0003","AQS"
"08/25/2017","45","Ozone","Leavenworth","20-103-0003","AQS"
"08/26/2017","61","Ozone","Rocky Creek","29-047-0006","AQS"
"08/27/2017","46","PM2.5","Troost","29-095-0034","AQS"
"08/28/2017","48","PM2.5","Troost","29-095-0034","AQS"
"08/29/2017","37","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"08/30/2017","45","PM2.5","Troost","29-095-0034","AQS"
"08/31/2017","52","PM2.5","Troost","29-095-0034","AQS"
"09/01/2017","79","PM2.5","Troost","29-095-0034","AQS"
"09/02/2017","77","PM2.5","JFK","20-209-0021","AQS"
"09/03/2017","71","Ozone","JFK","20-209-0021","AQS"
"09/04/2017","65","PM2.5","JUSTICE CENTER","20-091-0007","AQS"
"09/05/2017","37","PM2.5","Troost","29-095-0034","AQS"
"09/06/2017","53","PM2.5","Troost","29-095-0034","AQS"
"09/07/2017","61","PM2.5","Troost","29-095-0034","AQS"
"09/08/2017","87","Ozone","Liberty","29-047-0005","AQS"
"09/09/2017","74","Ozone","Rocky Creek","29-047-0006","AQS"
"09/10/2017","67","Ozone","Rocky Creek","29-047-0006","AQS"
"09/11/2017","55","PM2.5","Troost","29-095-0034","AQS"
"09/12/2017","60","PM2.5","Troost","29-095-0034","AQS"
"09/13/2017","100","Ozone","HERITAGE PARK","20-091-0010","AQS"
"09/14/2017","80","Ozone","Trimble","29-049-0001","AQS"
"09/15/2017","77","Ozone","Trimble","29-049-0001","AQS"
"09/16/2017","60","PM2.5","Troost","29-095-0034","AQS"
"09/17/2017","36","PM2.5","Troost","29-095-0034","AQS"
"09/18/2017","49","PM2.5","Troost","29-095-0034","AQS"
"09/19/2017","52","PM2.5","JUSTICE CENTER","20-091-0007","AQS"
"09/20/2017","52","PM2.5","Troost","29-095-0034","AQS"
"09/21/2017","46","PM2.5","Troost","29-095-0034","AQS"
"09/22/2017","45","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"09/23/2017","55","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"09/24/2017","54","PM2.5","Liberty","29-047-0005","AQS"
"09/25/2017","58","Ozone","Trimble","29-049-0001","AQS"
"09/26/2017","28","Ozone","JFK","20-209-0021","AQS"
"09/27/2017","28","Ozone","Trimble","29-049-0001","AQS"
"09/28/2017","41","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"09/29/2017","53","PM2.5","JFK","20-209-0021","AQS"
"09/30/2017","47","Ozone","Leavenworth","20-103-0003","AQS"
"10/01/2017","47","Ozone","Trimble","29-049-0001","AQS"
"10/02/2017","56","PM2.5","Liberty","29-047-0005","AQS"
"10/03/2017","37","PM2.5","Liberty","29-047-0005","AQS"
"10/04/2017","22","PM2.5","Troost","29-095-0034","AQS"
"10/05/2017","47","PM2.5","JFK","20-209-0021","AQS"
"10/06/2017","48","PM2.5","Troost","29-095-0034","AQS"
"10/07/2017","48","PM2.5","JFK","20-209-0021","AQS"
"10/08/2017","48","Ozone","Trimble","29-049-0001","AQS"
"10/09/2017","44","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"10/10/2017","23","PM2.5","Troost","29-095-0034","AQS"
"10/11/2017","31","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"10/12/2017","30","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"10/13/2017","52","PM2.5","Troost","29-095-0034","AQS"
"10/14/2017","53","PM2.5","JFK","20-209-0021","AQS"
"10/15/2017","30","Ozone","JFK","20-209-0021","AQS"
"10/16/2017","55","PM2.5","JFK","20-209-0021","AQS"
"10/17/2017","42","Ozone","Trimble","29-049-0001","AQS"
"10/18/2017","48","Ozone","Trimble","29-049-0001","AQS"
"10/19/2017","64","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"10/20/2017","51","PM2.5","Troost","29-095-0034","AQS"
"10/21/2017","33","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"10/22/2017","32","Ozone","Rocky Creek","29-047-0006","AQS"
"10/23/2017","36","Ozone","Leavenworth","20-103-0003","AQS"
"10/24/2017","36","Ozone","JFK","20-209-0021","AQS"
"10/25/2017","74","PM2.5","JFK","20-209-0021","AQS"
"10/26/2017","49","PM10","Not Available","29-095-0018","AQS"
"10/27/2017","31","Ozone","Leavenworth","20-103-0003","AQS"
"10/28/2017","43","PM2.5","JFK","20-209-0021","AQS"
"10/29/2017","58","PM2.5","JFK","20-209-0021","AQS"
"10/30/2017","30","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"10/31/2017","31","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"11/01/2017","41","PM2.5","Troost","29-095-0034","AQS"
"11/02/2017","47","PM2.5","Troost","29-095-0034","AQS"
"11/03/2017","54","PM2.5","JFK","20-209-0021","AQS"
"11/04/2017","60","PM2.5","JFK","20-209-0021","AQS"
"11/05/2017","49","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"11/06/2017","45","PM2.5","JUSTICE CENTER","20-091-0007","AQS"
"11/07/2017","37","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"11/08/2017","49","PM2.5","JFK","20-209-0021","AQS"
"11/09/2017","36","PM10","Not Available","29-095-0018","AQS"
"11/10/2017","34","PM10","Troost","29-095-0034","AQS"
"11/11/2017","39","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"11/12/2017","52","PM2.5","JUSTICE CENTER","20-091-0007","AQS"
"11/13/2017","47","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"11/14/2017","54","PM2.5","JFK","20-209-0021","AQS"
"11/15/2017","31","PM2.5","JFK","20-209-0021","AQS"
"11/16/2017","34","PM2.5","JFK","20-209-0021","AQS"
"11/17/2017","56","PM2.5","JFK","20-209-0021","AQS"
"11/18/2017","33","PM2.5","JFK","20-209-0021","AQS"
"11/19/2017","48","PM2.5","JFK","20-209-0021","AQS"
"11/20/2017","50","PM2.5","JFK","20-209-0021","AQS"
"11/21/2017","31","Ozone","JFK","20-209-0021","AQS"
"11/22/2017","38","PM2.5","JFK","20-209-0021","AQS"
"11/23/2017","35","PM2.5","JFK","20-209-0021","AQS"
"11/24/2017","37","PM10","Not Available","29-095-0018","AQS"
"11/25/2017","41","NO2","Troost","29-095-0034","AQS"
"11/26/2017","60","PM2.5","JFK","20-209-0021","AQS"
"11/27/2017","45","Ozone","Leavenworth","20-103-0003","AQS"
"11/28/2017","40","Ozone","Leavenworth","20-103-0003","AQS"
"11/29/2017","38","PM10","Troost","29-095-0034","AQS"
"11/30/2017","46","PM2.5","Troost","29-095-0034","AQS"
"12/01/2017","61","PM10","Not Available","29-095-0018","AQS"
"12/02/2017","77","PM2.5","JFK","20-209-0021","AQS"
"12/03/2017","70","PM2.5","JFK","20-209-0021","AQS"
"12/04/2017","54","PM10","Not Available","29-095-0018","AQS"
"12/05/2017","34","Ozone","Leavenworth","20-103-0003","AQS"
"12/06/2017","31","Ozone","Leavenworth","20-103-0003","AQS"
"12/07/2017","33","NO2","Blue Ridge, I-70","29-095-0042","AQS"
"12/08/2017","35","PM2.5","JFK","20-209-0021","AQS"
"12/09/2017","34","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"12/10/2017","37","PM2.5","JFK","20-209-0021","AQS"
"12/11/2017","51","PM10","Not Available","29-095-0018","AQS"
"12/12/2017","32","NO2","Troost","29-095-0034","AQS"
"12/13/2017","44","PM10","Not Available","29-095-0018","AQS"
"12/14/2017","38","NO2","Troost","29-095-0034","AQS"
"12/15/2017","53","PM2.5","JFK","20-209-0021","AQS"
"12/16/2017","35","PM2.5","JFK","20-209-0021","AQS"
"12/17/2017","54","PM2.5","JFK","20-209-0021","AQS"
"12/18/2017","83","PM2.5","JFK","20-209-0021","AQS"
"12/19/2017","66","PM2.5","JFK","20-209-0021","AQS"
"12/20/2017","25","PM2.5","Troost","29-095-0034","AQS"
"12/21/2017","57","PM2.5","JFK","20-209-0021","AQS"
"12/22/2017","62","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"12/23/2017","40","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"12/24/2017","32","Ozone","JFK","20-209-0021","AQS"
"12/25/2017","31","Ozone","Leavenworth","20-103-0003","AQS"
"12/26/2017","32","Ozone","JFK","20-209-0021","AQS"
"12/27/2017","33","PM2.5","JFK","20-209-0021","AQS"
"12/28/2017","46","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"12/29/2017","64","PM2.5","Troost","29-095-0034","AQS"
"12/30/2017","32","Ozone","JFK","20-209-0021","AQS"
"12/31/2017","32","Ozone","JFK","20-209-0021","AQS"
"01/01/2018","39","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"01/02/2018","62","PM2.5","JFK","20-209-0021","AQS"
"01/03/2018","32","Ozone","HERITAGE PARK","20-091-0010","AQS"
"01/04/2018","50","PM2.5","JFK","20-209-0021","AQS"
"01/05/2018","48","PM2.5","JUSTICE CENTER","20-091-0007","AQS"
"01/06/2018","55","PM2.5","JFK","20-209-0021","AQS"
"01/07/2018","56","PM2.5","JFK","20-209-0021","AQS"
"01/08/2018","71","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"01/09/2018","62","PM2.5","JFK","20-209-0021","AQS"
"01/10/2018","29","Ozone","HERITAGE PARK","20-091-0010","AQS"
"01/11/2018","32","Ozone","JFK","20-209-0021","AQS"
"01/12/2018","31","Ozone","JFK","20-209-0021","AQS"
"01/13/2018","30","Ozone","JFK","20-209-0021","AQS"
"01/14/2018","53","PM2.5","JFK","20-209-0021","AQS"
"01/15/2018","32","Ozone","JFK","20-209-0021","AQS"
"01/16/2018","33","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"01/17/2018","72","PM2.5","JFK","20-209-0021","AQS"
"01/18/2018","57","PM2.5","JFK","20-209-0021","AQS"
"01/19/2018","44","PM2.5","JFK","20-209-0021","AQS"
"01/20/2018","52","PM2.5","Troost","29-095-0034","AQS"
"01/21/2018","46","PM2.5","Troost","29-095-0034","AQS"
"01/22/2018","25","PM2.5","JFK","20-209-0021","AQS"
"01/23/2018","30","PM2.5","JFK","20-209-0021","AQS"
"01/24/2018","36","NO2","Troost","29-095-0034","AQS"
"01/25/2018","83","PM2.5","JFK","20-209-0021","AQS"
"01/26/2018","38","PM2.5","JFK","20-209-0021","AQS"
"01/27/2018","68","PM2.5","JFK","20-209-0021","AQS"
"01/28/2018","53","PM2.5","JFK","20-209-0021","AQS"
"01/29/2018","52","PM2.5","JFK","20-209-0021","AQS"
"01/30/2018","52","PM2.5","JFK","20-209-0021","AQS"
"01/31/2018","34","Ozone","JFK","20-209-0021","AQS"
"02/01/2018","30","Ozone","JFK","20-209-0021","AQS"
"02/02/2018","47","PM2.5","JFK","20-209-0021","AQS"
"02/03/2018","59","PM2.5","JFK","20-209-0021","AQS"
"02/04/2018","54","PM2.5","JFK","20-209-0021","AQS"
"02/05/2018","81","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"02/06/2018","46","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"02/07/2018","59","PM2.5","JUSTICE CENTER","20-091-0007","AQS"
"02/08/2018","58","PM2.5","JFK","20-209-0021","AQS"
"02/09/2018","60","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"02/10/2018","32","Ozone","JFK","20-209-0021","AQS"
"02/11/2018","53","NO2","Troost","29-095-0034","AQS"
"02/12/2018","47","PM2.5","JFK","20-209-0021","AQS"
"02/13/2018","54","PM2.5","JFK","20-209-0021","AQS"
"02/14/2018","56","PM2.5","JFK","20-209-0021","AQS"
"02/15/2018","44","PM2.5","JFK","20-209-0021","AQS"
"02/16/2018","35","NO2","Troost","29-095-0034","AQS"
"02/17/2018","45","PM2.5","JFK","20-209-0021","AQS"
"02/18/2018","36","NO2","Troost","29-095-0034","AQS"
"02/19/2018","41","PM2.5","JFK","20-209-0021","AQS"
"02/20/2018","34","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"02/21/2018","33","Ozone","Leavenworth","20-103-0003","AQS"
"02/22/2018","38","PM2.5","JUSTICE CENTER","20-091-0007","AQS"
"02/23/2018","30","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"02/24/2018","29","PM2.5","JFK","20-209-0021","AQS"
"02/25/2018","63","PM2.5","JFK","20-209-0021","AQS"
"02/26/2018","56","PM10","Not Available","29-095-0018","AQS"
"02/27/2018","41","Ozone","Leavenworth","20-103-0003","AQS"
"02/28/2018","45","PM2.5","JUSTICE CENTER","20-091-0007","AQS"
"03/01/2018","40","PM2.5","JFK","20-209-0021","AQS"
"03/02/2018","42","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"03/03/2018","46","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"03/04/2018","40","Ozone","Leavenworth","20-103-0003","AQS"
"03/05/2018","40","Ozone","Liberty","29-047-0005","AQS"
"03/06/2018","39","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"03/07/2018","39","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"03/08/2018","48","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"03/09/2018","60","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"03/10/2018","55","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"03/11/2018","52","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"03/12/2018","52","PM2.5","JUSTICE CENTER","20-091-0007","AQS"
"03/13/2018","43","Ozone","Liberty","29-047-0005","AQS"
"03/14/2018","61","PM2.5","JFK","20-209-0021","AQS"
"03/15/2018","100","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"03/16/2018","59","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"03/17/2018","52","PM2.5","Troost","29-095-0034","AQS"
"03/18/2018","55","PM2.5","Troost","29-095-0034","AQS"
"03/19/2018","52","PM2.5","Troost","29-095-0034","AQS"
"03/20/2018","37","Ozone","Liberty","29-047-0005","AQS"
"03/21/2018","44","Ozone","Trimble","29-049-0001","AQS"
"03/22/2018","49","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"03/23/2018","43","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"03/24/2018","31","PM2.5","JUSTICE CENTER","20-091-0007","AQS"
"03/25/2018","33","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"03/26/2018","48","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"03/27/2018","37","PM2.5","JUSTICE CENTER","20-091-0007","AQS"
"03/28/2018","45","PM2.5","Troost","29-095-0034","AQS"
"03/29/2018","50","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"03/30/2018","44","Ozone","Leavenworth","20-103-0003","AQS"
"03/31/2018","38","Ozone","Liberty","29-047-0005","AQS"
"04/01/2018","39","Ozone","Rocky Creek","29-047-0006","AQS"
"04/02/2018","36","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/03/2018","35","Ozone","JFK","20-209-0021","AQS"
"04/04/2018","41","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"04/05/2018","71","Ozone","Rocky Creek","29-047-0006","AQS"
"04/06/2018","43","Ozone","JFK","20-209-0021","AQS"
"04/07/2018","43","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/08/2018","41","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/09/2018","48","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"04/10/2018","63","PM2.5","Troost","29-095-0034","AQS"
"04/11/2018","80","Ozone","Rocky Creek","29-047-0006","AQS"
"04/12/2018","74","Ozone","Trimble","29-049-0001","AQS"
"04/13/2018","48","PM2.5","Troost","29-095-0034","AQS"
"04/14/2018","37","Ozone","JFK","20-209-0021","AQS"
"04/15/2018","39","Ozone","JFK","20-209-0021","AQS"
"04/16/2018","51","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"04/17/2018","51","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/18/2018","43","Ozone","JFK","20-209-0021","AQS"
"04/19/2018","49","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"04/20/2018","54","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/21/2018","54","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/22/2018","49","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/23/2018","71","Ozone","HERITAGE PARK","20-091-0010","AQS"
"04/24/2018","97","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"04/25/2018","35","PM2.5","Troost","29-095-0034","AQS"
"04/26/2018","64","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/27/2018","51","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/28/2018","48","Ozone","JFK","20-209-0021","AQS"
"04/29/2018","46","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/30/2018","77","Ozone","Liberty","29-047-0005","AQS"
"05/01/2018","45","PM2.5","Troost","29-095-0034","AQS"
"05/02/2018","40","PM2.5","Troost","29-095-0034","AQS"
"05/03/2018","38","Ozone","Trimble","29-049-0001","AQS"
"05/04/2018","61","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"05/05/2018","74","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"05/06/2018","71","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"05/07/2018","87","Ozone","JFK","20-209-0021","AQS"
"05/08/2018","77","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"05/09/2018","67","Ozone","JFK","20-209-0021","AQS"
"05/10/2018","101","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"05/11/2018","48","Ozone","Trimble","29-049-0001","AQS"
"05/12/2018","45","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"05/13/2018","53","PM2.5","JFK","20-209-0021","AQS"
"05/14/2018","53","PM2.5","JFK","20-209-0021","AQS"
"05/15/2018","54","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"05/16/2018","51","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"05/17/2018","77","Ozone","Leavenworth","20-103-0003","AQS"
"05/18/2018","87","Ozone","Liberty","29-047-0005","AQS"
